labyrinth_id,labyrinth_name,theme,beast,quality
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Dwarf Boa,Q1_Common
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Pygmy Rattlesnake,Q2_Uncommon
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Asp,Q3_Rare
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Krait,Q4_Superior
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Mamba,Q5_Epic
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Snake,Q6_Mythic
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Taipan,Q7_Ancient
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Rosy Boa,Q8_Arcane
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Cuban Boa,Q9_Celestial
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Mud Snake,Q10_Ethereal
1,Warrens under the Dwarf Pygmy Rattlesnake,Snakes,Sea Snake,Q11_Transcendent
12,Vault of the Corn Habu Milk,Snakes,Bird Snake,Q1_Common
12,Vault of the Corn Habu Milk,Snakes,Corn Snake,Q2_Uncommon
12,Vault of the Corn Habu Milk,Snakes,Habu Snake,Q3_Rare
12,Vault of the Corn Habu Milk,Snakes,Milk Snake,Q4_Superior
12,Vault of the Corn Habu Milk,Snakes,Mole Snake,Q5_Epic
12,Vault of the Corn Habu Milk,Snakes,Pine Snake,Q6_Mythic
12,Vault of the Corn Habu Milk,Snakes,Pipe Snake,Q7_Ancient
12,Vault of the Corn Habu Milk,Snakes,Puff Adder,Q8_Arcane
12,Vault of the Corn Habu Milk,Snakes,Rubber Boa,Q9_Celestial
12,Vault of the Corn Habu Milk,Snakes,Tree Snake,Q10_Ethereal
12,Vault of the Corn Habu Milk,Snakes,Twig Snake,Q11_Transcendent
23,March within the Vine Worm Black,Snakes,Vine Snake,Q1_Common
23,March within the Vine Worm Black,Snakes,Wolf Snake,Q2_Uncommon
23,March within the Vine Worm Black,Snakes,Worm Snake,Q3_Rare
23,March within the Vine Worm Black,Snakes,Black Mamba,Q4_Superior
23,March within the Vine Worm Black,Snakes,Blind Snake,Q5_Epic
23,March within the Vine Worm Black,Snakes,Brown Snake,Q6_Mythic
23,March within the Vine Worm Black,Snakes,Congo Snake,Q7_Ancient
23,March within the Vine Worm Black,Snakes,Coral Snake,Q8_Arcane
23,March within the Vine Worm Black,Snakes,Cottonmouth,Q9_Celestial
23,March within the Vine Worm Black,Snakes,Death Adder,Q10_Ethereal
23,March within the Vine Worm Black,Snakes,Grass Snake,Q11_Transcendent
34,Depths under the Green Night Mamba,Snakes,Green Mamba,Q1_Common
34,Depths under the Green Night Mamba,Snakes,Green Snake,Q2_Uncommon
34,Depths under the Green Night Mamba,Snakes,Mulga Snake,Q3_Rare
34,Depths under the Green Night Mamba,Snakes,Night Adder,Q4_Superior
34,Depths under the Green Night Mamba,Snakes,Night Snake,Q5_Epic
34,Depths under the Green Night Mamba,Snakes,Queen Snake,Q6_Mythic
34,Depths under the Green Night Mamba,Snakes,Racer Snake,Q7_Ancient
34,Depths under the Green Night Mamba,Snakes,Rainbow Boa,Q8_Arcane
34,Depths under the Green Night Mamba,Snakes,Rattlesnake,Q9_Celestial
34,Depths under the Green Night Mamba,Snakes,Urutu Snake,Q10_Ethereal
34,Depths under the Green Night Mamba,Snakes,Zebra Snake,Q11_Transcendent
45,Hollows beyond the Banded Krait Fierce,Snakes,Banded Krait,Q1_Common
45,Hollows beyond the Banded Krait Fierce,Snakes,Fierce Snake,Q2_Uncommon
45,Hollows beyond the Banded Krait Fierce,Snakes,Flying Snake,Q3_Rare
45,Hollows beyond the Banded Krait Fierce,Snakes,Garter Snake,Q4_Superior
45,Hollows beyond the Banded Krait Fierce,Snakes,Gopher Snake,Q5_Epic
45,Hollows beyond the Banded Krait Fierce,Snakes,Ground Snake,Q6_Mythic
45,Hollows beyond the Banded Krait Fierce,Snakes,Horned Adder,Q7_Ancient
45,Hollows beyond the Banded Krait Fierce,Snakes,Indigo Snake,Q8_Arcane
45,Hollows beyond the Banded Krait Fierce,Snakes,Jamaican Boa,Q9_Celestial
45,Hollows beyond the Banded Krait Fierce,Snakes,Moonglow Boa,Q10_Ethereal
45,Hollows beyond the Banded Krait Fierce,Snakes,Parrot Snake,Q11_Transcendent
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Ribbon Snake,Q1_Common
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Smooth Snake,Q2_Uncommon
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Chicken Snake,Q3_Rare
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Dumeril’s Boa,Q4_Superior
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Hognose snake,Q5_Epic
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Inland Taipan,Q6_Mythic
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Malayan Krait,Q7_Ancient
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Mamushi Snake,Q8_Arcane
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Sunbeam Snake,Q9_Celestial
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Coastal Taipan,Q10_Ethereal
56,Labyrinth under the Taipan Ribbon Smooth,Snakes,Mangrove Snake,Q11_Transcendent
