labyrinth_id,labyrinth_name,theme,order,quality
000,Concord of the Forsaken Orders,Orders,Zombie,Q1_Common
000,Concord of the Forsaken Orders,Orders,Zouyu,Q2_Uncommon
000,Concord of the Forsaken Orders,Orders,Zunbera-bō,Q3_Rare
000,Concord of the Forsaken Orders,Orders,Gravebound,Q4_Superior
000,Concord of the Forsaken Orders,Orders,Ash-Walkers,Q5_Epic
000,Concord of the Forsaken Orders,Orders,The Pale Choir,Q6_Mythic
000,Concord of the Forsaken Orders,Orders,Ironwake,Q7_Ancient
000,Concord of the Forsaken Orders,Orders,Night Mandate,Q8_Arcane
000,Concord of the Forsaken Orders,Orders,The Withered Oath,Q9_Celestial
000,Concord of the Forsaken Orders,Orders,Black Reliquary,Q10_Ethereal
000,Concord of the Forsaken Orders,Orders,Cinder Heralds,Q11_Transcendent
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Tangie,Q1_Common
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Sōtangitsune,Q2_Uncommon
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Suangi,Q3_Rare
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Te Wheke-a-Muturangi,Q4_Superior
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Satan,Q5_Epic
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Titan,Q6_Mythic
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Tantankororin,Q7_Ancient
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Calingi,Q8_Arcane
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Tanuki,Q9_Celestial
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Bagiennik,Q10_Ethereal
002,Covenant of Satan & TeWheke-a-Muturang,Orders,Wangliang,Q11_Transcendent
003,Conclave of Jotai and Daidarabotchi,Orders,Syrbotae,Q1_Common
003,Conclave of Jotai and Daidarabotchi,Orders,Haetae,Q2_Uncommon
003,Conclave of Jotai and Daidarabotchi,Orders,Syrictæ,Q3_Rare
003,Conclave of Jotai and Daidarabotchi,Orders,Jotai,Q4_Superior
003,Conclave of Jotai and Daidarabotchi,Orders,Antaeus,Q5_Epic
003,Conclave of Jotai and Daidarabotchi,Orders,Ipotane,Q6_Mythic
003,Conclave of Jotai and Daidarabotchi,Orders,Minotaur,Q7_Ancient
003,Conclave of Jotai and Daidarabotchi,Orders,Daidarabotchi,Q8_Arcane
003,Conclave of Jotai and Daidarabotchi,Orders,Leucrota,Q9_Celestial
003,Conclave of Jotai and Daidarabotchi,Orders,Quinotaur,Q10_Ethereal
003,Conclave of Jotai and Daidarabotchi,Orders,Ophiotaurus,Q11_Transcendent
004,Seal of Iele & Fourhorsemenofthea,Orders,Elemental,Q1_Common
004,Seal of Iele & Fourhorsemenofthea,Orders,Centaur,Q2_Uncommon
004,Seal of Iele & Fourhorsemenofthea,Orders,Onocentaur,Q3_Rare
004,Seal of Iele & Fourhorsemenofthea,Orders,Iele,Q4_Superior
004,Seal of Iele & Fourhorsemenofthea,Orders,Golem,Q5_Epic
004,Seal of Iele & Fourhorsemenofthea,Orders,Ichthyocentaur,Q6_Mythic
004,Seal of Iele & Fourhorsemenofthea,Orders,Emere,Q7_Ancient
004,Seal of Iele & Fourhorsemenofthea,Orders,Talos,Q8_Arcane
